Name,Fifa,Fifa Ability Overall,Liga,Position,Player,Apps,Minutes played,Assists,Yel,Red,Pass success percentage,Aerials Won per game,Man of the match,Rating,Tackles,Interceptions per game,Fouls,Offside won per game,Clearances per game,Dribbled past per game,Outfielder Block Per Game,OwnG,Goals,Shots per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Key passes per game,Passes per game,Pass success percentage.1,Crosses,Long balls per game,Through balls per game
Jimmy Durmaz,J. Durmaz,75,Ligue1,AM(CLR),"Jimmy Durmaz Toulouse, 30, AM(CLR) ",21(15),1905,1,5,0,77,0.3,1,6.58,0.9,0.3,0.8,-,0.3,0.6,0.1,-,4,1.1,1.4,0.5,-,1.1,1.3,1.1,30.4,77,0.6,1.5,-
Gabriel Boschilia,Gabriel Boschilia,76,Ligue1,AM(CLR),"Gabriel Boschilia Nantes, 23, AM(CLR) ",14(15),1322,4,1,0,80.7,0.2,-,6.57,1.1,0.3,0.6,-,0.2,0.9,0.1,-,4,1.4,0.5,0.8,-,1,1.5,0.9,16.7,80.7,0.6,0.2,-
Moussa Konaté,M. Konaté,76,Ligue1,"AM(R), FW","Moussa Konaté Amiens, 26, AM(R),FW ",21(6),1882,2,2,0,67.7,1.9,1,6.57,0.4,0.2,1.6,-,0.5,0.4,0.1,-,7,1.8,0.6,1.4,0.9,0.9,2.5,0.4,14,67.7,-,0.3,0.1
Juan Ferney Otero,J. Otero,72,Ligue1,"AM(R), FW","Juan Ferney Otero Amiens, 24, AM(R),FW ",24(9),2180,2,1,0,74.9,1.3,-,6.57,0.9,0.7,0.9,-,0.5,1,0.1,-,2,1.6,1.1,1.2,0.4,1.5,2.3,0.8,19.8,74.9,0.6,0.5,-
Prince Oniangué,P. Oniangué,71,Ligue1,M(C),"Prince Oniangué Caen, 30, M(C) ",26(5),2343,-,3,0,83.7,1.6,-,6.57,1.9,0.9,0.8,-,1.3,1.1,0.3,-,2,0.7,0.1,0.9,-,0.5,0.7,0.2,31.6,83.7,0.1,1.3,-
Stéphane Bahoken,S. Bahoken,72,Ligue1,FW,"Stéphane Bahoken Angers, 27, FW ",31(1),2493,1,3,0,73.4,1.2,-,6.57,0.5,0.3,1.7,-,0.2,0.6,0.1,-,11,2.1,0.2,1.1,0.9,1.8,3.2,0.7,13.9,73.4,0.1,0.2,-
Youssouf Fofana,Y. Fofana,61,Ligue1,M(C),"Youssouf Fofana Strasbourg, 20, M(C) ",10(7),911,1,-,0,77.9,0.3,-,6.57,1.6,0.6,1,-,0.4,1.1,-,-,2,0.7,0.9,0.5,-,0.5,1.7,0.4,19.9,77.9,0.1,0.8,-
Marc-Aurèle Caillard,M. Caillard,63,Ligue1,"GK, GK","Marc-Aurèle Caillard Guingamp, 25, GK ",21,1890,-,-,0,50.5,0.3,2,6.57,-,0.1,-,-,1,0.1,-,-,-,-,-,0.2,-,-,-,-,22.9,50.5,-,7.5,-
Jordan Marié,J. Marié,73,Ligue1,DMC,"Jordan Marié Dijon, 27, DMC ",20(6),1805,1,4,0,78.9,0.8,-,6.56,2,1.5,0.8,0.1,1.2,1.4,0.2,-,1,0.6,0.5,0.5,-,0.4,1.5,0.5,32.7,78.9,0.2,2,-
Anthony Walongwa,A. Walongwa,65,Ligue1,D(C),"Anthony Walongwa Nantes, 25, D(C) ",1,90,-,-,0,91.9,4,-,6.56,-,1,1,-,1,-,2,-,-,1,-,-,-,-,-,-,37,91.9,-,-,-
