Name,Name.1,Rating,Fifa Ability Overall,Position,Apps,Minutes played,Assists,Yel,Red,Aerials Won per game,Man of the match,Tackles,Interceptions per game,Fouls,Offside won per game,Clearances per game,Dribbled past per game,Outfielder Block Per Game,OwnG,Goals,Shots per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Key passes per game,Passes per game,Pass success percentage,Crosses,Long balls per game,Through balls per game,pos
Marcin Kaminski,"Marcin Kaminski Fortuna Duesseldorf, 27, D(C) ",6.44,73,D(C),27,2430,1,1,0,1.8,0,0.7,1.4,0.3,0.5,3.8,0.1,0.4,0,0,0.3,0.0,0.3,0.0,0.0,0.2,0.3,43.1,84.0,0.1,3.8,0.0,DEF
Mikael Ishak,"Mikael Ishak Nuernberg, 26, FW ",6.44,73,FW,22,1920,3,1,0,1.2,0,0.3,0.1,0.8,0.0,0.3,0.4,0.1,0,4,1.3,0.6,1.1,0.5,0.7,1.6,0.7,14.1,69.9,0.1,0.3,0.0,OFF
Anthony Ujah,"Anthony Ujah Mainz 05, 28, FW ",6.43,73,FW,6,724,0,2,0,1.9,1,0.1,0.0,0.7,0.0,0.5,0.0,0.1,0,4,1.2,0.1,0.2,0.5,0.5,0.9,0.5,7.9,66.1,0.0,0.2,0.1,OFF
Iver Fossum,"Iver Fossum Hannover 96, 23, M(C) ",6.37,73,M(C),5,453,0,0,0,0.1,0,1.0,0.8,0.1,0.0,0.9,0.4,0.2,0,0,0.6,0.3,0.3,0.0,0.6,0.3,1.0,24.3,81.7,0.9,0.4,0.1,MID
Alexandru Maxim,"Alexandru Maxim Mainz 05, 29, AM(CL) ",6.36,73,AM(CL),3,565,0,3,0,0.1,0,0.7,0.2,0.4,0.0,0.3,0.4,0.0,0,1,0.7,0.5,0.3,0.1,0.7,0.7,0.7,15.1,83.1,0.5,0.8,0.0,MID
Bobby Wood,"Bobby Wood Hannover 96, 26, AM(C),FW ",6.33,73,"AM(C), FW",12,1186,1,1,0,1.3,0,0.7,0.2,0.9,0.0,0.3,0.2,0.0,0,3,0.9,0.3,0.7,0.2,2.9,1.9,0.6,14.4,78.7,0.1,0.3,0.1,OFF
Derrick Luckassen,"Derrick Luckassen Hertha Berlin, 24, D(CR),DMC ",6.31,73,"D(CR), DMC",2,248,0,0,0,1.3,0,1.0,0.0,0.0,0.5,3.3,0.5,0.0,0,0,0.0,0.5,1.0,0.3,0.0,0.5,0.0,46.3,89.7,0.0,3.0,0.0,DEF
Chadrac Akolo,"Chadrac Akolo VfB Stuttgart, 24, AM(CR) ",6.22,73,AM(CR),5,523,1,0,0,0.4,0,0.6,0.3,0.5,0.0,0.0,0.1,0.0,0,0,0.9,0.4,0.9,0.1,0.7,1.0,0.4,9.6,76.5,0.1,0.1,0.0,MID
Josip Elez,"Josip Elez Hannover 96, 25, D(C) ",6.19,73,D(C),7,647,0,1,0,1.0,0,0.8,0.6,0.6,0.6,2.7,0.9,0.4,0,0,0.3,0.3,0.2,0.0,0.4,0.3,0.2,30.6,78.1,0.0,1.9,0.0,DEF
Julian Schieber,"Julian Schieber Augsburg, 30, FW ",6.12,73,FW,3,258,0,1,0,0.9,0,0.3,0.1,0.1,0.0,0.3,0.1,0.0,0,1,0.4,0.2,0.1,0.2,0.7,1.6,0.1,8.6,72.7,0.0,0.1,0.0,OFF
Rubén Alcaraz,"Rubén Alcaraz Real Valladolid, 28, DMC ",6.89,73,DMC,34,2978,2,13,0,1.5,2,2.8,1.1,2.0,0.1,1.4,1.7,0.3,0,3,1.5,0.7,3.2,0.0,1.2,1.0,0.6,50.4,83.6,0.2,5.3,0.0,DEF
Pape Diop,"Pape Diop Eibar, 33, M(C) ",6.85,73,M(C),27,2356,1,11,0,3.6,0,2.4,1.3,2.4,0.0,0.9,0.7,0.0,0,1,1.3,0.6,1.7,0.0,0.4,1.1,0.4,40.3,73.2,0.1,2.0,0.0,MID
Toni Villa,"Toni Villa Real Valladolid, 24, AM(L) ",6.8,73,AM(L),21,1774,2,3,0,0.1,1,2.0,0.5,1.1,0.0,0.2,1.0,0.0,0,2,1.3,2.1,1.6,0.1,2.3,1.8,0.9,21.2,78.0,0.3,0.6,0.0,MID
Abdoulaye Ba,"Abdoulaye Ba Rayo Vallecano, 28, D(C) ",6.78,73,D(C),25,2113,0,4,2,2.7,1,1.8,1.1,0.9,0.8,6.0,0.4,0.7,0,1,0.3,0.2,0.5,0.0,0.1,0.5,0.1,40.3,82.4,0.0,3.7,0.0,DEF
Fernando Calero,"Fernando Calero Real Valladolid, 23, D(C) ",6.73,73,D(C),35,3130,0,7,0,1.9,1,1.4,1.5,1.0,0.5,4.6,0.4,0.9,0,1,0.3,0.3,0.3,0.0,0.1,0.3,0.1,40.3,83.6,0.0,2.8,0.0,DEF
Xabier Etxeita,"Xabier Etxeita SD Huesca, 31, D(C) ",6.69,73,D(C),30,2678,0,11,0,2.6,1,1.5,1.3,1.1,0.9,5.2,0.7,0.8,1,4,0.8,0.0,0.4,0.0,0.0,0.2,0.1,28.5,75.2,0.1,2.8,0.0,DEF
Moussa Wague,"Moussa Wague Barcelona, 20, D(R) ",6.65,73,D(R),2,225,0,1,0,0.7,0,2.0,1.3,3.0,0.3,0.7,1.3,0.0,0,0,0.3,2.0,0.0,1.0,1.0,1.7,1.7,42.3,87.4,0.3,0.3,0.0,DEF
Santiago Cáseres,"Santiago Cáseres Villarreal, 22, DMC ",6.6,73,DMC,17,1590,1,10,0,1.1,0,2.9,0.6,1.5,0.0,1.0,1.4,0.4,0,0,0.2,0.5,0.6,0.0,0.2,0.5,0.7,37.5,90.8,0.0,2.9,0.0,DEF
Douglas Luiz,"Douglas Luiz Girona, 21, M(C) ",6.58,73,M(C),16,1487,0,7,0,1.1,0,1.5,0.9,2.0,0.0,1.0,1.3,0.3,0,0,0.7,1.0,1.3,0.0,0.7,0.9,0.4,31.7,84.5,0.1,2.9,0.0,MID
Ander Barrenetxea,"Ander Barrenetxea Real Sociedad, 17, Forward ",6.56,73,Forward,5,399,0,0,0,0.2,1,0.8,0.4,1.3,0.0,0.1,0.7,0.0,0,1,0.6,2.1,0.7,0.3,0.9,1.7,0.8,11.7,78.1,0.0,0.1,0.0,OFF
Ferrán Torres,"Ferrán Torres Valencia, 19, M(R) ",6.51,73,M(R),8,843,1,5,0,1.3,0,0.6,0.4,0.8,0.0,0.3,0.3,0.0,0,2,0.7,0.6,0.4,0.0,0.7,0.8,0.6,12.2,77.7,0.4,0.5,0.1,MID
Ignasi Miquel,"Ignasi Miquel Getafe, 26, D(C) ",6.47,73,D(C),4,317,0,1,0,1.0,0,0.1,0.7,0.9,0.0,3.4,0.1,0.6,0,0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,13.0,54.9,0.1,1.0,0.1,DEF
